@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 numeric

@data
1,'2016/11/10 20:11:46:846',1,1,3.946672,378.331482,0.206734,12.48034,1.215128,3.246116,3.172888,6.826748,6.736346,22.642851,6.220637,0
2,'2016/11/10 20:11:46:878',1,1,3.951586,378.439545,0.211914,12.564424,1.223398,3.240717,3.163726,6.864419,6.76737,22.667038,6.192673,0
3,'2016/11/10 20:11:46:912',1,1,3.951586,378.439545,0.211914,12.564424,1.223398,3.240717,3.163726,6.864419,6.76737,22.667038,6.192673,0
4,'2016/11/10 20:11:46:945',1,1,3.952557,378.619629,0.215618,12.470153,1.214498,3.252459,3.165245,6.878822,6.785933,22.722267,6.149619,0
5,'2016/11/10 20:11:46:979',1,1,3.952557,378.619629,0.215618,12.470153,1.214498,3.252459,3.165245,6.878822,6.785933,22.722267,6.149619,0
6,'2016/11/10 20:11:47:011',1,1,3.94842,378.703705,0.217088,12.489323,1.217535,3.244761,3.169112,6.846167,6.757275,22.82712,6.205178,0
7,'2016/11/10 20:11:47:046',1,1,3.94842,378.703705,0.217088,12.489323,1.217535,3.244761,3.169112,6.846167,6.757275,22.82712,6.205178,0
8,'2016/11/10 20:11:47:078',1,1,3.959274,378.782867,0.220697,12.54926,1.197736,3.255787,3.171856,6.854826,6.767089,22.855274,6.191259,0
9,'2016/11/10 20:11:47:113',1,1,3.959274,378.782867,0.220697,12.54926,1.197736,3.255787,3.171856,6.854826,6.767089,22.855274,6.191259,0
10,'2016/11/10 20:11:47:145',1,1,3.945975,378.55307,0.21017,12.523502,1.225195,3.305858,3.224113,6.786007,6.697787,22.621536,6.278894,0
11,'2016/11/10 20:11:47:180',1,1,3.950398,378.510223,0.211999,12.520528,1.20259,3.234806,3.154406,6.82277,6.737131,22.76808,6.320041,0
12,'2016/11/10 20:11:47:211',1,1,3.950398,378.510223,0.211999,12.520528,1.20259,3.234806,3.154406,6.82277,6.737131,22.76808,6.320041,0
13,'2016/11/10 20:11:47:246',1,1,3.941415,378.506622,0.210898,12.481072,1.216344,3.251714,3.173493,6.843322,6.751642,22.65564,6.316206,0
14,'2016/11/10 20:11:47:278',1,1,3.941415,378.506622,0.210898,12.481072,1.216344,3.251714,3.173493,6.843322,6.751642,22.65564,6.316206,0
15,'2016/11/10 20:11:47:313',1,1,3.941415,378.506622,0.210898,12.481072,1.216344,3.251714,3.173493,6.843322,6.751642,22.65564,6.316206,0
16,'2016/11/10 20:11:47:345',1,1,3.941415,378.506622,0.210898,12.481072,1.216344,3.251714,3.173493,6.843322,6.751642,22.65564,6.316206,0
17,'2016/11/10 20:11:47:380',1,1,3.948312,378.52533,0.21048,12.543678,1.210426,3.257863,3.182202,6.811833,6.724312,22.809389,6.289682,0
18,'2016/11/10 20:11:47:412',1,1,3.948312,378.52533,0.21048,12.543678,1.210426,3.257863,3.182202,6.811833,6.724312,22.809389,6.289682,0
19,'2016/11/10 20:11:47:447',1,1,3.940794,378.447906,0.215026,12.512479,1.221842,3.276948,3.211174,6.815481,6.732051,22.668772,6.309801,0
20,'2016/11/10 20:11:47:478',1,1,3.940794,378.447906,0.215026,12.512479,1.221842,3.276948,3.211174,6.815481,6.732051,22.668772,6.309801,0
21,'2016/11/10 20:11:47:513',1,1,3.947986,378.438995,0.217486,12.487996,1.206042,3.272117,3.196385,6.828875,6.749066,22.751701,6.279193,0
22,'2016/11/10 20:11:53:112',2,1,4.064478,378.753296,0.207163,18.346237,5.086311,2.59113,2.391459,6.968047,6.828414,23.70677,7.27384,1
23,'2016/11/10 20:11:53:146',2,1,4.064478,378.753296,0.207163,18.346237,5.086311,2.59113,2.391459,6.968047,6.828414,23.70677,7.27384,1
24,'2016/11/10 20:11:53:179',2,1,4.069308,378.571869,0.210376,18.767414,5.431777,2.521534,2.310973,7.001405,6.858502,23.719902,7.332228,1
25,'2016/11/10 20:11:53:211',2,1,4.069308,378.571869,0.210376,18.767414,5.431777,2.521534,2.310973,7.001405,6.858502,23.719902,7.332228,1
26,'2016/11/10 20:11:53:246',2,1,4.066298,378.779449,0.207827,18.683844,5.220893,2.554924,2.354592,6.968168,6.835338,23.673275,7.384196,1
27,'2016/11/10 20:11:53:280',2,1,4.066298,378.779449,0.207827,18.683844,5.220893,2.554924,2.354592,6.968168,6.835338,23.673275,7.384196,1
28,'2016/11/10 20:11:53:313',2,1,4.062351,378.618988,0.19362,18.686211,5.430914,2.579544,2.360471,6.93891,6.791838,23.656626,7.345935,1
29,'2016/11/10 20:11:53:344',2,1,4.062351,378.618988,0.19362,18.686211,5.430914,2.579544,2.360471,6.93891,6.791838,23.656626,7.345935,1
30,'2016/11/10 20:11:53:379',2,1,4.063913,378.508942,0.199976,18.819431,5.224448,2.54444,2.314844,6.960679,6.818112,23.752413,7.314703,1
31,'2016/11/10 20:11:53:412',2,1,4.063913,378.508942,0.199976,18.819431,5.224448,2.54444,2.314844,6.960679,6.818112,23.752413,7.314703,1
32,'2016/11/10 20:11:53:446',2,1,4.063913,378.508942,0.199976,18.819431,5.224448,2.54444,2.314844,6.960679,6.818112,23.752413,7.314703,1
33,'2016/11/10 20:11:53:478',2,1,4.064968,378.786469,0.207628,18.645584,5.313692,2.5743,2.337141,6.965276,6.80977,23.812826,7.341528,1
